               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.017028,           0.0077149,                   0,             0.92646,             0.95238,             0.96242,             0.73478,            0.011893,           0.0029688,                   0,            0.001222,            0.001222,            0.001222
                 135,             0.01582,           0.0077142,                   0,             0.95231,             0.95089,             0.96638,             0.74455,            0.011937,           0.0028616,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.016296,           0.0075918,                   0,             0.95011,             0.95238,             0.96522,             0.74158,            0.012141,            0.002819,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.016782,           0.0078558,                   0,              0.9483,             0.95238,             0.96644,             0.75635,            0.011982,           0.0027832,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.015903,           0.0075993,                   0,             0.94802,             0.95238,             0.96699,             0.75876,            0.011995,           0.0027638,                   0,            0.000958,            0.000958,            0.000958
                 139,             0.01629,           0.0082895,                   0,             0.94753,             0.95238,             0.96838,             0.76847,            0.011902,           0.0027204,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.013473,           0.0073902,                   0,              0.9514,             0.95238,             0.96624,             0.75756,            0.012088,           0.0028516,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.017338,           0.0076148,                   0,             0.94997,             0.95238,             0.96899,             0.76897,            0.011989,           0.0027237,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.015693,           0.0074562,                   0,              0.9497,             0.95238,             0.97093,             0.77494,            0.012011,           0.0026638,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.013801,           0.0073358,                   0,             0.94976,             0.95238,             0.97309,              0.7747,            0.011828,           0.0026215,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.015858,           0.0077824,                   0,             0.94934,             0.95238,             0.97461,             0.77528,             0.01175,           0.0026078,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.015541,            0.007633,                   0,              0.9482,             0.95238,             0.97188,             0.77341,            0.011705,           0.0026213,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016327,           0.0077874,                   0,             0.94883,             0.95238,             0.97276,             0.77204,            0.011885,           0.0025853,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.013214,           0.0071238,                   0,              0.9496,             0.95238,             0.97404,             0.77355,            0.011917,           0.0025875,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.014062,           0.0073551,                   0,             0.94951,             0.95238,             0.97307,             0.77609,            0.011819,           0.0026342,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.014068,           0.0072316,                   0,             0.94956,             0.95238,             0.97399,             0.77725,            0.011766,            0.002591,                   0,            0.000232,            0.000232,            0.000232
